,open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore,datetime_utc,datetime_utc_str,time_str,pos
793,1713705180000,3155.89,3158.7,3155.88,3156.55,1396.53,1713705239999,4409224.95321,2460,753.437,2378796.17153,0,2024-04-21 13:13:59.999,2024-04-21 13:13:59.999,13:13,1
794,1713705240000,3156.55,3159.62,3155.45,3159.48,1610.521,1713705299999,5085272.18324,2200,1135.909,3586661.26943,0,2024-04-21 13:14:59.999,2024-04-21 13:14:59.999,13:14,1
795,1713705300000,3159.47,3159.85,3157.09,3159.29,1439.472,1713705359999,4546713.07775,2628,686.281,2167630.92428,0,2024-04-21 13:15:59.999,2024-04-21 13:15:59.999,13:15,1
796,1713705360000,3159.29,3159.93,3155.88,3156.89,1845.627,1713705419999,5828621.70092,2229,710.99,2245183.95416,0,2024-04-21 13:16:59.999,2024-04-21 13:16:59.999,13:16,1
797,1713705420000,3156.89,3157.76,3155.83,3156.69,1901.418,1713705479999,6002423.44726,1617,1368.886,4321317.30532,0,2024-04-21 13:17:59.999,2024-04-21 13:17:59.999,13:17,1
798,1713705480000,3156.68,3158.6,3156.68,3158.49,380.49,1713705539999,1201505.72776,1019,267.425,844431.18766,0,2024-04-21 13:18:59.999,2024-04-21 13:18:59.999,13:18,1
799,1713705540000,3158.49,3161.66,3158.48,3161.09,1030.017,1713705599999,3255564.30085,2735,684.413,2163141.31144,0,2024-04-21 13:19:59.999,2024-04-21 13:19:59.999,13:19,1
800,1713705600000,3161.09,3164.77,3160.41,3164.49,1898.507,1713705659999,6003959.8624,2928,1028.988,3254644.48398,0,2024-04-21 13:20:59.999,2024-04-21 13:20:59.999,13:20,1
801,1713705660000,3164.48,3166.88,3164.44,3166.84,5202.837,1713705719999,16470357.85653,4093,2050.113,6489728.76706,0,2024-04-21 13:21:59.999,2024-04-21 13:21:59.999,13:21,1
802,1713705720000,3166.85,3167.58,3165.68,3167.18,1329.703,1713705779999,4210752.43328,2039,652.201,2065337.22969,0,2024-04-21 13:22:59.999,2024-04-21 13:22:59.999,13:22,1
803,1713705780000,3167.18,3168.65,3165.88,3166.12,1155.028,1713705839999,3658355.24761,1974,535.977,1697683.05777,0,2024-04-21 13:23:59.999,2024-04-21 13:23:59.999,13:23,1
804,1713705840000,3166.12,3166.12,3163.89,3164.14,1171.681,1713705899999,3708147.51442,1461,395.138,1250462.05378,0,2024-04-21 13:24:59.999,2024-04-21 13:24:59.999,13:24,1
805,1713705900000,3164.14,3164.89,3161.01,3161.47,2689.394,1713705959999,8506148.47425,2643,506.117,1600771.19564,0,2024-04-21 13:25:59.999,2024-04-21 13:25:59.999,13:25,1
806,1713705960000,3161.47,3161.5,3160.21,3161.13,852.29,1713706019999,2694038.93852,1400,438.156,1384965.55003,0,2024-04-21 13:26:59.999,2024-04-21 13:26:59.999,13:26,1
807,1713706020000,3161.15,3163.3,3161.14,3162.23,746.408,1713706079999,2360348.69811,1539,418.877,1324577.44595,0,2024-04-21 13:27:59.999,2024-04-21 13:27:59.999,13:27,1
808,1713706080000,3162.24,3164.0,3160.86,3160.86,593.237,1713706139999,1875907.1245,1770,236.647,748326.18571,0,2024-04-21 13:28:59.999,2024-04-21 13:28:59.999,13:28,1
809,1713706140000,3160.86,3162.79,3160.86,3162.79,360.61,1713706199999,1140137.22842,849,246.723,780033.60918,0,2024-04-21 13:29:59.999,2024-04-21 13:29:59.999,13:29,1
810,1713706200000,3162.78,3163.14,3161.04,3161.8,386.721,1713706259999,1222880.90362,1071,92.285,291813.4297,0,2024-04-21 13:30:59.999,2024-04-21 13:30:59.999,13:30,1
